Section,Subsection,Cause,Explanation,Illustration ,Effect,
S. 102,301,Death of an unintended victim,"If someone kills another person than the one they intended to kill, it is still culpable homicide.",A person aims to kill Person A but accidentally kills Person B.,"The person is charged with culpable homicide, as if they had killed the intended victim.",
S. 103,302,Punishment for murder,"The punishment for murder can be death, life imprisonment, or a fine.",A person found guilty of murder is sentenced to death.,"Murder conviction leads to death or life imprisonment, with classification as cognizable, non-bailable.",
S. 104,303,Murder by a life convict,A life convict who commits murder may face death or life imprisonment for the remainder of their life.,A life convict kills a prison guard.,The convict faces death or life imprisonment for committing murder while serving a life sentence.,
S. 105,304,Punishment for lesser culpable homicide,"Imprisonment for life or 5 to 10 years imprisonment, depending on intent.",A person causes death by rash driving but doesn't intend to kill.,The offender may face a reduced sentence of life imprisonment or up to 10 years.,
S. 106,304,Causing death by negligence,Death resulting from a negligent act may result in imprisonment and a fine.,A person kills someone in a car accident due to negligent driving.,Punishment can range from up to five years of imprisonment and a fine.,
S. 107,305,Abetment of suicide,Abetting the suicide of a minor or someone of unsound mind is punishable with death or imprisonment.,A person encourages a minor to commit suicide.,"The person who abets the suicide faces death, life imprisonment, or up to ten years imprisonment with a fine.",
S. 108,306,Abetment of suicide,"Any act that encourages or aids suicide, regardless of the person's condition.",A person persuades another to end their life.,The abettor faces up to 10 years' imprisonment and a fine.,
S. 109,307,Attempted murder,An attempt to commit murder can lead to imprisonment of up to 10 years or life imprisonment if injury occurs.,A person stabs another but does not kill them.,"The person faces up to 10 years of imprisonment or life imprisonment, depending on injury.",
S. 110,308,Attempted culpable homicide,A person attempting culpable homicide without intent to murder may face up to 3 years' imprisonment or a fine.,A person strikes another intending to hurt but not kill.,"The punishment could be up to 3 years of imprisonment or a fine, with higher penalties if harm is caused.",
S. 111,-,Organised crime,"Any unlawful activity committed by groups of individuals, such as kidnapping, robbery, vehicle theft, trafficking, and economic offences, with severe consequences.",A criminal syndicate running a human trafficking racket.,"The syndicate members face severe penalties, including life imprisonment or death, depending on the crime's severity.",
S. 112,-,Petty organised crime,"Crimes like vehicle theft, trick theft, and pickpocketing committed by organised groups causing public insecurity.",A gang involved in ATM thefts or snatching.,Punishment includes imprisonment for up to seven years and a fine.,
S. 113,-,Terrorist act,"Acts intended to threaten India's unity, integrity, security, or disturb public order using hazardous substances like explosives.",A person planning a bombing to disrupt public order.,The offender faces death or life imprisonment and significant fines.,
S. 114,-,Hurt,"Causing bodily pain, disease, or infirmity to any person.","A person is injured in a fight, causing pain and discomfort.",The offender may face penalties for inflicting hurt.,
S. 115,-,Voluntarily causing hurt,Causing hurt intentionally or knowingly to any person.,A person hits someone with the intent to cause injury.,"The person can be punished with up to one year of imprisonment or a fine up to ₹10,000.",
S. 116,-,Grievous hurt,"Includes severe bodily harm such as emasculation, loss of sight, fractures, or life-threatening injuries.",A person suffers from permanent disability after a violent attack.,The offender may face imprisonment and a fine.,
S. 117,-,Voluntarily causing grievous hurt,Causing grievous hurt intentionally or knowingly.,"A person causes severe injury, like permanent disfigurement.",The offender can face imprisonment for up to seven years.,
S. 118,-,Voluntarily causing hurt or grievous hurt by dangerous weapons,"Causing harm using dangerous weapons like firearms, explosives, or animals.",A person uses a gun to threaten and injure another person.,"The punishment includes imprisonment for up to three years or a fine, and for grievous hurt, up to ten years of imprisonment.",
S. 119,-,Voluntarily causing hurt or grievous hurt to extort property or force illegal acts,Causing harm to extort property or compel someone to do something illegal.,A person is beaten to hand over money or perform illegal acts.,The offender faces imprisonment for up to ten years and a fine.,
S. 120,-,Voluntarily causing hurt or grievous hurt to extort confession or compel restoration of property,Causing harm to extort confessions or force the return of stolen property.,A person is tortured to confess to a crime or return stolen items.,"The punishment is up to seven years of imprisonment and a fine, with more severe penalties for grievous hurt.",
S. 121,-,Voluntarily causing hurt or grievous hurt to deter public servant from his duty,"Causes hurt or grievous hurt to a public servant in the discharge of his duty, or to deter any public servant from discharging their duty",A person causing hurt to a police officer while they are arresting someone,"Hurt: Imprisonment up to 5 years, fine, or both; Grievous Hurt: Imprisonment 1-10 years, fine",
S. 122,-,Voluntarily causing hurt or grievous hurt on provocation,"Causing hurt or grievous hurt in response to grave and sudden provocation, without intending to hurt anyone other than the provoker",A person strikes another in response to a sudden insult,"Hurt: Imprisonment up to 1 month, fine up to ₹5000, or both; Grievous Hurt: Imprisonment up to 5 years, fine up to ₹10,000, or both",
S. 123,-,"Causing hurt by means of poison, etc., with intent to commit an offence",Administering poison or any harmful substance with the intent to hurt or commit an offence,A person poisons someone to steal from them,"Imprisonment up to 10 years, fine",
S. 124,-,Voluntarily causing grievous hurt by use of acid,"Causing permanent damage, deformity, burns, or grievous hurt using acid","A person throws acid at another, causing serious disfigurement","Imprisonment 10 years to life, fine to cover medical expenses; Attempted acid use: 5-7 years imprisonment, fine",
S. 125,-,Act endangering life or personal safety of others,Recklessly or negligently endangering life or safety of others,"A person drives dangerously, risking harm to pedestrians","Imprisonment up to 3 months, fine up to ₹2500, or both; Hurt: Imprisonment up to 6 months, fine up to ₹5000, or both; Grievous Hurt: Imprisonment up to 3 years, fine up to ₹10,000, or both",
S. 126,-,Wrongful restraint,Obstructing a person from proceeding in a direction where they have a right to go,"A person blocks a pedestrian path, preventing someone from passing","Simple imprisonment up to 1 month, fine up to ₹5000, or both",
S. 127,-,Wrongful confinement,Preventing a person from proceeding beyond certain limits,"A person locks another in a room, preventing them from leaving","Imprisonment up to 1 year, fine up to ₹5000, or both; Confinement for 3 days or more: Imprisonment up to 3 years, fine up to ₹10,000, or both; Confinement for 10 days or more: Imprisonment up to 5 years, fine not less than ₹10,000",
S. 128,-,Force,"Causing motion, change of motion, or cessation of motion to a person or substance","A person pushes another, causing them to move","Causes motion, change of motion, or cessation of motion through bodily power, substances, or animals",
S. 129,-,Criminal force,"Intentionally using force on someone without their consent to commit an offence or cause injury, fear, or annoyance","A person pushes another in a fight, intending to cause harm","Imprisonment or fine, or both, for intentional use of force causing injury, fear, or annoyance without consent",
S. 130,-,Assault,Making gestures or preparations intending to cause apprehension of criminal force,"A person shakes their fist at another, causing fear of a punch",Imprisonment or fine for gestures or preparations intending to cause fear of criminal force,
S. 131,,"Assault or criminal force to a person, without grave provocation","If someone assaults or uses criminal force to another person, other than in response to grave provocation, they face punishment.",A person hits another during an argument not provoked by the other party,"Imprisonment for up to 3 months, fine of up to ₹1,000, or both.",
S. 132,,Assaulting or using criminal force to a public servant in the execution of their duty,A person uses force against a police officer trying to prevent them from fulfilling their duties,A person pushes a police officer while they are arresting someone,"Imprisonment for up to 2 years, fine, or both.",
S. 133,,"Assaulting or using criminal force intending to dishonor a person, without grave provocation",A person assaults another intending to embarrass or dishonor them,Someone slaps another to humiliate them,"Imprisonment up to 2 years, fine, or both.",
S. 134,,Assaulting or using force while attempting theft on someone's property,A person uses force to snatch a purse from someone,A thief attempts to grab a handbag from a person in the street,"Imprisonment up to 2 years, fine, or both.",
S. 135,,Assault or criminal force to attempt wrongful confinement,A person uses force to stop someone from leaving a place,A person locks someone in a room to prevent them from exiting,"Imprisonment up to 1 year, fine up to ₹5,000, or both.",
S. 136,,Assaulting or using criminal force on grave provocation,A person assaults another in response to sudden grave provocation,A person slaps someone after being insulted,"Simple imprisonment up to 1 month, fine up to ₹1,000, or both.",
S. 137,,Kidnapping a person from India or from lawful guardianship,"Kidnapping a person or child without consent, either from India or from their lawful guardian",A person takes a child from their guardian’s custody without permission,"Imprisonment up to 7 years, and fine.",
S. 138,,Abduction by force or deceit,A person forces or deceives another to go from one place to another,A person tricks someone into traveling to a different city,Varies based on the case.,
S. 139,,Kidnapping or maiming a child to use them for begging,A person kidnaps or harms a child to make them beg,A person kidnaps a child to use them in the streets for alms,"Imprisonment not less than 10 years, or life imprisonment, with fine.",
S. 140,,Kidnapping or abduction with intent to murder or demand ransom,A person abducts another to threaten their life or demand ransom,A person kidnaps someone to extort money from their family,"Death penalty or life imprisonment, up to 10 years, with fine.",
S. 141,,Importing minors with intent of illicit activity,Punishable with up to 10 years imprisonment and fine for importing minors for forced or seduced illicit intercourse.,Importing a girl under 21 or boy under 18 for illicit purposes.,Imprisonment up to 10 years and fine.,
S. 142,,Concealing or detaining a kidnapped person,Punished similarly as the original act of kidnapping or abduction.,Concealing a person who has been abducted.,Same punishment as for kidnapping or abduction.,
S. 143,,Recruitment or transportation for exploitation,"Involves force, threats, coercion, fraud, or deception for exploitation, including sexual slavery or forced labor.",Trafficking a person using force or fraud for exploitation.,"Imprisonment from 7 years to life, and fine.",
S. 144,,Engaging a trafficked person for sexual exploitation,Imprisonment and fine for engaging trafficked persons (especially minors) for sexual exploitation.,Engaging a trafficked minor for sexual exploitation.,Imprisonment from 3 to 10 years (for adults) and fines.,
S. 145,,"Import, export, buy, sell, or deal in slaves",Punishable with life imprisonment or up to 10 years imprisonment and fine for habitual dealing in slaves.,Habitual involvement in trafficking or selling slaves.,Life imprisonment or imprisonment up to 10 years and fine.,
S. 146,,Compelling labor against the person’s will,Punishable with imprisonment up to 1 year or fine for forcing labor.,Forcing someone to work against their will.,"Imprisonment up to 1 year or fine, or both.",
S. 147,,Waging or attempting war against India,"Waging war or attempting it against the government, or abetting such acts, is punishable with death or life imprisonment.",Joining a rebellion against the government.,Death or life imprisonment and fine.,
S. 148,,Conspiring to wage war or force government actions,Punishable with life imprisonment or up to 10 years for conspiring against the government.,Conspiring to overawe the government with criminal force.,Life imprisonment or up to 10 years imprisonment and fine.,
S. 149,,Preparing for war against India,"Preparing to wage war by collecting arms, men, or ammunition is punishable with life imprisonment or up to 10 years imprisonment.",Collecting arms to prepare for war against India.,Life imprisonment or imprisonment up to 10 years and fine.,
S. 150,,Concealing war preparations,Concealing acts or omissions to facilitate war preparations is punishable with imprisonment up to 10 years and fine.,Concealing war preparations to help waging war.,Imprisonment up to 10 years and fine.,
S. 151,,Assaulting or restraining President or Governor to influence their lawful powers,Assault or restrain with criminal force or show of force to compel or prevent lawful action,Assaulting a Governor to prevent action on a law,Imprisonment up to 7 years and fine,
S. 152,,"Acts that excite secession, rebellion, or subversive activities","Inducing or encouraging acts endangering India's sovereignty and integrity, via speech, media, or financial means",Promoting separatist movements or rebellion,"Imprisonment for life or up to 7 years, and fine",
S. 153,,Waging war against a peaceful foreign state,Engaging in or attempting to engage in war against a foreign state at peace with India,Waging war against a peaceful neighboring state,"Imprisonment for life or up to 7 years, and fine",
S. 154,,Attacking foreign state territories at peace with India,Making preparations or committing depredation (attack) on foreign peaceful state territories,Attacking a peaceful foreign nation’s territory,"Imprisonment up to 7 years, fine, and property forfeiture",
S. 155,,Receiving stolen property from war or depredation,Receiving property taken in war or depredation without lawful authority,Receiving property taken during war or conflict,"Imprisonment up to 7 years, fine, and property forfeiture",
S. 156,,Public servant letting a state or war prisoner escape,A public servant allowing a state or war prisoner to escape,Allowing a prisoner of war to escape custody,"Life imprisonment or up to 10 years, and fine",
S. 157,,Negligence by public servant causing prisoner escape,A public servant negligently allowing a prisoner to escape,Negligently allowing a prisoner of war to escape,Simple imprisonment up to 3 years and fine,
S. 158,,Aiding a prisoner’s escape or resisting recapture,"Helping, rescuing, or harboring an escaped prisoner or resisting recapture",Helping a prisoner of war escape custody,"Life imprisonment or up to 10 years, and fine",
S. 159,,Abetting mutiny or seducing military personnel from duty,Encouraging mutiny or seducing military personnel from their allegiance,Encouraging a soldier to rebel against orders,"Life imprisonment or up to 10 years, and fine",
S. 160,,Abetting mutiny that leads to actual mutiny,"If mutiny occurs due to abetment, the person is punished",Encouraging mutiny that leads to rebellion in the military,"Death or life imprisonment, or up to 10 years, and fine",
S. 161,,Abetting assault on a superior officer by military personnel,Abetting the assault on a superior officer while executing official duties,Encouraging a soldier to assault his commanding officer,Imprisonment up to 3 years and fine,
S. 162,,Abetting assault that leads to actual assault on superior officer,Abetting assault that results in the commission of the assault,Encouraging assault on a superior officer that occurs due to abetment,Imprisonment up to 7 years and fine,
S. 163,,Encouraging desertion by military personnel,"Abetting a soldier, sailor, or airman in deserting their post",Persuading a soldier to desert the military,"Imprisonment up to 2 years, or fine, or both",
S. 164,,Harbouring or concealing a deserter from the military,"Harbouring a soldier, sailor, or airman who has deserted",Hiding a soldier who has deserted the army,"Imprisonment up to 2 years, or fine, or both",
S. 165,,Concealing a deserter aboard a merchant vessel,The master or person in charge of a vessel negligently concealing a deserter,Ignoring a soldier hidden aboard a merchant vessel,"Fine of 3,000 rupees",
S. 166,,Abetting insubordination among military personnel,Encouraging or supporting acts of insubordination by military personnel,Encouraging a soldier to act insubordinately,"Imprisonment up to 2 years, or fine, or both",
S. 167,,Military personnel not subject to punishment under this Sanhita,Military personnel are not liable for certain offenses under this chapter,"A soldier, sailor, or airman subject to military law",No punishment under this Sanhita,
S. 168,,Impersonating military personnel,Wearing military garb or carrying tokens resembling those of military personnel,A civilian wearing military uniform to impersonate a soldier,"Imprisonment up to 3 months, or fine of 2,000 rupees, or both",
S. 169,,"Defining ""candidate"" and ""electoral right""","Explaining the meaning of ""candidate"" and ""electoral right"" for election law purposes",A person nominated as a candidate or exercising their right to vote,"No direct punishment, provides legal definitions",
S. 170,,Offering or accepting bribes related to electoral rights,Offering or receiving gratification to influence voting behavior,Offering money to a voter to influence their vote,Imprisonment and penalty as per specific case circumstances,
S. 171,,Interference with free electoral rights,Voluntary interference with the free exercise of any electoral right,Threatening a candidate or voter to influence their decision,"Punished with imprisonment up to 1 year, fine, or both",
S. 172,,Impersonating another voter,Voting in someone else's name or impersonating a deceased or fictitious person,Voting as someone else at an election,"Punished with imprisonment up to 1 year, fine, or both",
S. 173,,Bribery during elections,Offering or accepting bribery to influence votes,Offering money or gifts to voters,"Imprisonment up to 1 year, or fine, or both",
S. 174,,Undue influence or impersonation at elections,Engaging in undue influence or impersonation during voting,Threatening voters or impersonating others,"Imprisonment up to 1 year, fine, or both",
S. 175,,Making false statements about candidates,Spreading false statements about a candidate’s personal conduct or character,Falsely accusing a candidate of criminal behavior,Fine,
S. 176,,Unauthorized election expenses,Incurring or authorizing expenses without the candidate’s written authority,Spending money on a public meeting for a candidate without approval,"Fine up to 10,000 rupees",
S. 177,,Failure to keep accounts for election expenses,Not maintaining accounts for election-related expenses as required by law,Failing to keep a proper record of election-related expenditures,"Fine up to 5,000 rupees",
S. 178,,Counterfeiting currency or government-issued stamps,"Counterfeiting coins, government stamps, or currency notes",Forging a banknote or government stamp,Imprisonment for life or up to 10 years and fine,
S. 179,,Using forged or counterfeit currency or government stamps,Using or selling counterfeit or forged currency notes or coins,Using a fake coin or banknote in a transaction,Imprisonment for life or up to 10 years and fine,
S. 180,,Possession of counterfeit currency or stamps,"Possessing counterfeit coins, notes, or stamps with the intent to use them as genuine",Keeping a counterfeit banknote with the intent to use it,"Imprisonment up to 7 years, fine, or both",
S. 182,-1,"Making, using, or delivering documents resembling currency notes.","Whoever creates, uses, or delivers any document resembling or calculated to deceive as a currency-note or bank-note commits an offense.","Example: A person creates a flyer designed to look like a currency note for promotional purposes, misleading others.",Punishment: Fine up to ₹300.,
S. 182,-2,Failure to disclose the maker's details for such documents.,"If a person refuses to disclose, without lawful excuse, the name and address of the person who printed or made the deceptive document, they commit an offense.",Example: A shopkeeper refuses to reveal the source of counterfeit-like promotional materials found in their possession.,Punishment: Fine up to ₹600.,
S. 182,-3,Name appearing on documents connected with offenses under sub-section (1).,"If a name is found on any document connected with the offense under sub-section (1), the associated person can be charged.","Example: A person's name appears on a batch of counterfeit promotional documents resembling banknotes, implicating them in the offense.","Can lead to prosecution under sub-section (1), with the applicable fine of up to ₹300 or additional legal scrutiny.",
S. 183,,Effacing or removing Government-issued stamps with intent to cause loss.,"Whoever fraudulently removes or effaces writing from a stamped substance, or removes a used stamp to reuse it for a different purpose, commits an offense.",Example: A person removes a revenue stamp from a document and attempts to reuse it on another document to avoid paying the Government revenue.,"Punishment: Imprisonment of up to 3 years, fine, or both. Classification: Cognizable, bailable, triable by a Magistrate of the first class.",
S. 184,,Using previously used Government revenue stamps.,"Whoever fraudulently reuses a Government-issued stamp for revenue purposes, knowing it has already been used, commits an offense.",Example: A person removes a used stamp from an old document and reuses it on a new document to avoid paying for a new stamp.,"Punishment: Imprisonment of up to 2 years, fine, or both. Classification: Cognizable, bailable, triable by any Magistrate.",
S. 185,,Erasing or removing marks indicating a Government stamp has been used.,"Whoever fraudulently erases or removes marks from a Government-issued revenue stamp, or knowingly possesses, sells, or disposes of such a stamp, commits an offense.","Example: A person removes the cancellation mark from a revenue stamp and attempts to reuse or sell it for profit, causing loss to the Government.","Punishment: Imprisonment of up to 3 years, fine, or both. Classification: Cognizable, bailable, triable by a Magistrate of the first class.",
S. 186,,Prohibition of fictitious stamps.,"Whoever makes, uses, deals in, sells, or possesses fictitious stamps, or possesses tools or materials for making such stamps, commits an offense. A fictitious stamp is one falsely purporting to be issued by the Government for postage purposes.",Example: A person creates fake postage stamps resembling official Government-issued stamps and attempts to sell or use them for postal purposes.,"Punishment: Fine up to ₹200. Any fictitious stamps, tools, or materials used to create them may be seized and forfeited. Classification: Cognizable, bailable, triable by any Magistrate.",
S. 187,,Person employed in a mint causing coin to deviate from the lawfully fixed weight or composition.,"The section punishes any person employed in a mint who intentionally causes a coin to be of different weight or composition than fixed by law, either by action or omission.","A mint employee intentionally alters the weight of a coin, which could lead to the production of counterfeit currency.","Punishment of imprisonment for up to 7 years and fine. The offense is cognizable, non-bailable, and triable by Magistrate of the first class.",
S. 188,,Unlawfully taking coining tools or instruments from the mint.,"The section punishes anyone who, without lawful authority, takes coining tools or instruments from a mint lawfully established in India.",A person unlawfully removes coining tools from a mint with the intent to misuse them for illegal purposes.,"Punishment of imprisonment for up to 7 years and fine. The offense is cognizable, non-bailable, and triable by Magistrate of the first class.",
S. 189,-1,"Definition of ""Unlawful Assembly""","An assembly of five or more persons becomes unlawful if the common objective is to intimidate, resist the execution of laws, commit crimes, or enforce rights through force or threats.",An assembly of five persons blocking a road with the intent to enforce their claim to the road by force.,"The assembly is unlawful if it fits any of the descriptions provided, and those involved are subject to punishment.",
S. 189,-2,Joining or continuing in an unlawful assembly,"A person knowingly joins or continues in an unlawful assembly, becoming a member, subject to punishment.","A person, aware that an assembly is unlawful, joins the group to resist police intervention.","Imprisonment up to 6 months, fine, or both.",
S. 189,-3,Joining or continuing after dispersal order,A person knowingly joins or continues in an unlawful assembly after being commanded to disperse.,"A protest group is ordered to disperse, but individuals knowingly remain in the assembly.","Imprisonment up to 2 years, fine, or both.",
S. 189,-4,Armed participation in unlawful assembly,A person armed with a deadly weapon or anything likely to cause death joins or continues in an unlawful assembly.,A person armed with a knife continues participating in a violent protest after being ordered to disperse.,"Imprisonment up to 2 years, fine, or both.",
S. 189,-5,Joining or continuing an assembly causing public disturbance,A person knowingly joins an assembly that is likely to disturb the public peace and does not disperse after being commanded.,A crowd gathers to protest and is warned by authorities to disperse but remains present.,"Imprisonment up to 6 months, fine, or both.",
S. 189,-6,"Engaging, hiring, or promoting others to join unlawful assembly",A person who hires or engages others to join an unlawful assembly is punishable as a member.,A leader hires individuals to participate in a violent assembly to disrupt public order.,Punishment equivalent to membership and participation in the unlawful assembly.,
S. 189,-7,Harbouring persons for unlawful assembly,A person who harbours or assembles individuals aware they are hired for an unlawful assembly is punishable.,A house owner allows hired individuals to stay in their home before participating in an unlawful assembly.,"Imprisonment up to 6 months, fine, or both.",
S. 189,-8,Assisting in unlawful assembly,A person engaged in assisting with acts of an unlawful assembly is subject to the same penalties as the assembly itself.,A person is hired to help block roads during a protest.,"Imprisonment up to 6 months, fine, or both.",
S. 189,-9,Armed assistance in unlawful assembly,A person hired to assist in an unlawful assembly while armed is punishable with greater severity.,A hired person arrives at a protest armed with a weapon to enforce the group’s demands.,"Imprisonment up to 2 years, fine, or both.",
S. 190,,Liability of all members of unlawful assembly for offence committed in pursuit of common object,"If any offence is committed by a member of an unlawful assembly while pursuing the common object of that assembly, or if the offence was likely to happen due to the common objective, all members of the assembly are guilty of that offence.","A group of protesters commits violence during a demonstration, and all members are considered guilty, even if some did not directly engage in the act.","All members are liable for the same offence, regardless of individual involvement, with consequences based on the offence type.",
S. 191,,Liability of all members of unlawful assembly for rioting,"If an unlawful assembly or any of its members uses force or violence in pursuit of the assembly's common objective, all members are guilty of the offence of rioting.","A group of individuals involved in a protest resort to violence. All participants are guilty of rioting, whether or not they directly used violence.","Rioting punishable by imprisonment (up to 2 years, or 5 years if armed with deadly weapon), or fine, or both.",
S. 192,-,Maliciously giving provocation with intent to cause riot,"If a person gives illegal provocation knowing it may cause a riot, they are liable. If a riot happens, punishment extends to a year; if not, up to 6 months or fine.","A person shouts provocative statements during a tense situation, knowing it will likely lead to a riot.","If riot occurs: Imprisonment up to 1 year, or fine, or both. If no riot: Imprisonment up to 6 months, or fine, or both.",
S. 193,-,Liability of landowner or occupier during unlawful assembly/riot,"If a riot or unlawful assembly occurs on land, the owner or occupier, or anyone claiming an interest in the land, must report it to the police and prevent it from happening.","Fine up to 1,000 rupees if they fail to notify the police or take lawful actions to prevent/suppress the riot or assembly.",,
S. 193,-,Riot for the benefit of the landowner/occupier,"If the riot is for the benefit of the landowner or their agent/manager, and they don't take lawful actions to prevent or suppress it, they will be liable to fine.",Fine for failure to prevent or suppress the riot when they have reason to believe it will happen.,,
S. 194,,Affray (fighting in a public place),"When two or more persons fight in a public place and disturb the public peace, they are committing an affray.","Punishable with imprisonment up to 1 month, or a fine up to 1,000 rupees, or both.",,
S. 195,-1,Assaulting or obstructing a public servant during riot control,"If someone assaults, obstructs, or uses criminal force against a public servant while they are attempting to disperse an unlawful assembly, suppress a riot, or quell an affray.",A person A hits a police officer while trying to disperse a riot.,"Punishable with imprisonment up to 3 years, a fine of at least ₹25,000, or both.",
S. 195,-2,Threatening or attempting to obstruct a public servant,"If someone threatens, attempts to assault, or obstructs a public servant in the course of their duties in attempting to disperse an unlawful assembly, suppress a riot, or quell an affray.",Person B threatens to harm a police officer while they attempt to control a riot.,"Punishable with imprisonment up to 1 year, or a fine, or both.",
S. 196,-1,"Promoting enmity between groups on grounds of religion, race, etc.","If someone promotes or attempts to promote disharmony or feelings of enmity, hatred, or ill-will between groups on grounds of religion, race, language, caste, or community, or commits acts prejudicial to maintaining harmony between groups.",A person writes an article inciting violence between two communities.,"Punishable with imprisonment up to 3 years, a fine, or both.",
S. 196,-2,Acts committed in places of worship or during religious ceremonies,If the offence specified in subsection (1) is committed in a place of worship or during religious ceremonies.,A person delivers a speech inciting violence in a mosque during prayer.,Punishable with imprisonment up to 5 years and liable to fine.,
S. 197,(1)(a),Imputation against a class of persons' allegiance to the Constitution and sovereignty of India,If someone makes or publishes an imputation that any class of persons cannot bear true faith and allegiance to the Constitution of India or uphold the sovereignty and integrity of India.,A person writes that a certain community cannot be loyal to the Constitution.,"Punishable with imprisonment up to 3 years, a fine, or both.",
S. 197,(1)(b),Denial or deprivation of citizenship rights based on group affiliation,"If someone asserts or propagates that any class of persons should be deprived of their rights as citizens of India due to their religious, racial, language, or community affiliation.",A leader advises that a particular caste should be denied voting rights.,"Punishable with imprisonment up to 3 years, a fine, or both.",
S. 197,(1)(c),Assertion causing disharmony or enmity between groups,"If someone publishes an assertion or appeal about a class of persons that causes or is likely to cause disharmony, enmity, or ill-will between them and others.",A speech that creates hate between two groups based on caste or religion.,"Punishable with imprisonment up to 3 years, a fine, or both.",
S. 197,(1)(d),False or misleading information endangering sovereignty or security of India,"If someone publishes false or misleading information that jeopardizes the sovereignty, unity, integrity, or security of India.",Publishing false reports that threaten national security.,"Punishable with imprisonment up to 3 years, a fine, or both.",
S. 197,-2,Offence committed in places of worship or during religious ceremonies,If any offence specified in subsection (1) is committed in a place of worship or during religious ceremonies.,A person spreading hatred in a mosque or temple during a ceremony.,Punishable with imprisonment up to 5 years and liable to fine.,
S. 198,-,Public servant disobeying law with intent to cause injury to any person,"If a public servant knowingly disobeys any legal direction regarding how they are to conduct themselves, intending or knowing that such disobedience will likely cause injury to any person.","A, an officer, disobeys a lawfully required action to seize property to satisfy a court decree, knowing it will harm Z.","Punishable with simple imprisonment for up to 1 year, fine, or both.",
S. 199,-,Public servant disobeying direction under law,"A public servant knowingly disobeys legal directions, such as requiring attendance for investigation or failing to record information about cognizable offences as required by law.",-,"Rigorous imprisonment for 6 months to 2 years, and fine.",
S. 200,-,Punishment for non-treatment of victim,"Whoever, in charge of a hospital, contravenes the provisions of section 449 of the Bharatiya Nagarik Suraksha Sanhita, 2023, shall be punished with imprisonment or fine.",-,"Imprisonment for 1 year, or fine, or both.",
S. 201,-,Public servant framing an incorrect document with intent to cause injury,"Whoever, being a public servant, knowingly prepares or translates a document or electronic record incorrectly, intending to cause injury to any person, shall be punished.",-,"Imprisonment for 3 years, or fine, or both.",
S. 202,-,Public servant unlawfully engaging in trade,"Whoever, being a public servant, is legally bound not to engage in trade and engages in trade, shall be punished.",-,"Simple imprisonment for 1 year, or fine, or both, or community service.",
S. 203,-,Public servant unlawfully buying or bidding for property,"A public servant, legally bound not to buy or bid for certain property, does so in his own name or through others, shall be punished.",-,"Simple imprisonment for 2 years, or fine, or both, and confiscation of property, if purchased.",
S. 204,-,Personating a public servant,A person pretending to hold a public office or falsely personating another person holding such an office and acting under its guise shall be punished.,-,Imprisonment for not less than 6 months but which may extend to 3 years and fine.,
S. 205,-,Wearing garb or carrying token used by public servant with fraudulent intent,A person not belonging to a certain class of public servants who wears any garb or carries a token resembling that used by public servants to deceive others about their position.,-,"Imprisonment for 3 months, or fine of 5,000 rupees, or both.",
S. 206,-,Absconding to avoid service of summons or other proceeding,"A person who absconds to avoid being served with a summons, notice, or order from a legally competent public servant.",-,"Simple imprisonment for up to 1 month or fine up to ₹5000, or both.",
S. 206,Absconding to avoid attending Court or producing a document in Court,"If the summons or notice relates to attending in person or by agent, or producing a document/electronic record in Court.",-,"Simple imprisonment for up to 6 months or fine up to ₹10,000, or both.",,
S. 207,-,"Preventing service of summons or other proceeding, or preventing publication thereof","A person who intentionally prevents the service of any summons, notice, or order from a legally competent public servant, or prevents lawful affixing or removal of such documents.",-,"Simple imprisonment for up to 1 month or fine up to ₹5000, or both.",
S. 208,-,Non-attendance in obedience to an order from public servant,"A person who, being legally bound to attend in person or by agent in obedience to a summons, notice, order, or proclamation, omits to attend at the required place or time or departs from the place before the lawful time to do so.",-,"Simple imprisonment for up to 1 month or fine up to ₹5000, or both.",
S. 209,-,"Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023","A person who fails to appear at the specified place and time as required by a proclamation published under section 84 of the Bhartiya Nagarik Suraksha Sanhita, 2023.",-,Imprisonment for up to 3 years or fine or both or community service.,
S. 209,-,Non-appearance after being declared a proclaimed offender,If the individual has been declared a proclaimed offender under sub-section (4) of section 84.,-,Imprisonment for up to 7 years and fine.,
S. 210,-,Omission to produce document or electronic record to public servant by person legally bound to produce it,"A person who is legally bound to produce or deliver any document or electronic record to a public servant, and intentionally omits to do so.","A, being legally bound to produce a document before a District Court, intentionally omits to produce the same.","Simple imprisonment for up to 1 month or fine up to 5000 rupees, or both.",
S. 210,Omission to produce document or electronic record to a Court,If the document or electronic record is to be produced or delivered to a Court.,-,"Simple imprisonment for up to 6 months or fine up to 10,000 rupees, or both.",,
S. 211,-,Omission to give notice or information to a public servant by a person legally bound to give it,"A person, who is legally bound to give notice or furnish information to a public servant, intentionally omits to do so.","A, a witness, is legally bound to inform the police about an offence but intentionally omits to do so.","Simple imprisonment for up to 1 month, or fine up to 5000 rupees, or both.",
S. 211,,Omission to give information regarding the commission of an offence,If the information pertains to the commission of an offence or is required for the prevention of an offence or apprehending an offender.,"A, a witness, intentionally omits to provide information about an offence, knowing it is vital for the apprehension of an offender.","Simple imprisonment for up to 6 months, or fine up to 10,000 rupees, or both.",
